@ HyperIMU -ianovir - 2018,,,,,,,,
@ Date:Sat Dec 14 23:41:03 GMT+05:30 2019, Sampling Rate:100ms,,,,,,,
,,,,,,,,
ST_LIS3DHTR.x,ST_LIS3DHTR.y,ST_LIS3DHTR.z,GRAVITY.x,GRAVITY.y,GRAVITY.z,GPS.lat,GPS.long,GPS.alt
0.132,-0.134,9.629,-0.122161,-0.115448,9.805206,28.71795833,77.13303833,197.5
-0.416,-0.055,9.885,-0.062713,-0.116973,9.80574,28.71795833,77.13303833,197.5
-0.102,-0.134,9.801,-0.067306,-0.117248,9.80571,28.71795833,77.13303833,197.5
-0.337,-0.134,9.801,-0.069961,-0.114181,9.805725,28.71795833,77.13303833,197.5
0.132,-0.134,9.629,-0.036682,-0.111236,9.805939,28.71795833,77.13303833,197.5
0.054,-0.134,9.885,0.014633,-0.106918,9.806046,28.71795833,77.13303833,197.5
-0.416,-0.134,9.801,0.030197,-0.10289,9.806061,28.71795833,77.13303833,197.5
0.054,-0.134,9.707,0.052276,-0.10234,9.805969,28.71795833,77.13303833,197.5
-0.024,-0.134,9.707,0.080764,-0.102737,9.805771,28.71795833,77.13303833,197.5
0.839,0.022,9.629,0.086334,-0.103912,9.80571,28.71795333,77.13304167,197.5
0.682,-0.134,9.801,0.122665,-0.10205,9.805344,28.71795333,77.13304167,197.5
0.211,-0.055,9.629,0.178421,-0.10086,9.804504,28.71795333,77.13304167,197.5
-0.102,-0.29,9.707,0.209487,-0.098602,9.803909,28.71795333,77.13304167,197.5
-0.259,-0.055,9.785,0.174118,-0.099395,9.804596,28.71795333,77.13304167,197.5
-0.102,-0.134,9.785,0.089553,-0.102203,9.805695,28.71795333,77.13304167,197.5
-0.337,-0.134,9.801,-0.026382,-0.109451,9.806,28.71795333,77.13304167,197.5
-0.18,-0.134,9.885,-0.10884,-0.115386,9.805359,28.71795333,77.13304167,197.5
-0.18,-0.134,9.864,-0.167984,-0.123901,9.804428,28.71795333,77.13304167,197.5
-0.024,-0.134,9.801,-0.151992,-0.123886,9.804688,28.71795333,77.13304167,197.5
-0.102,-0.134,9.801,-0.13887,-0.124008,9.804871,28.71795167,77.13304167,197.5
-0.024,-0.134,9.801,-0.134582,-0.124008,9.804932,28.71795167,77.13304167,197.5
-0.024,-0.134,9.801,-0.132217,-0.121826,9.804993,28.71795167,77.13304167,197.5
-0.102,-0.134,9.885,-0.130004,-0.121521,9.805023,28.71795167,77.13304167,197.5
-0.337,-0.134,9.885,-0.131973,-0.124328,9.804962,28.71795167,77.13304167,197.5
-0.18,-0.055,9.864,-0.194015,-0.128952,9.803879,28.71795167,77.13304167,197.5
0.132,-0.055,9.864,-0.237075,-0.130249,9.802917,28.71795167,77.13304167,197.5
-0.73,-0.134,9.864,-0.221374,-0.129852,9.803284,28.71795167,77.13304167,197.5
-0.18,-0.055,9.864,-0.213333,-0.128982,9.803467,28.71795167,77.13304167,197.5
0.446,-0.212,9.801,-0.241668,-0.122146,9.802902,28.71795167,77.13304167,197.5
-0.494,-0.055,9.801,-0.19551,-0.120101,9.803955,28.71795167,77.13304333,197.5
0.289,-0.055,9.801,-0.125686,-0.120361,9.805099,28.71795167,77.13304333,197.5
0.289,-0.134,9.885,-0.089645,-0.111953,9.805588,28.71795167,77.13304333,197.5
-0.024,-0.134,9.864,0.007095,-0.108901,9.80603,28.71795167,77.13304333,197.5
0.132,-0.134,9.885,0.071716,-0.109375,9.805771,28.71795167,77.13304333,197.5
-0.102,-0.134,9.864,0.074111,-0.104156,9.805817,28.71795167,77.13304333,197.5
0.054,-0.055,9.801,0.074172,-0.103302,9.805817,28.71795167,77.13304333,197.5
-0.024,-0.055,9.801,0.0484,-0.103973,9.805969,28.71795167,77.13304333,197.5
0.211,-0.134,9.629,0.036102,-0.103591,9.80603,28.71795167,77.13304333,197.5
0.211,-0.134,9.801,0.112365,-0.10147,9.805481,28.71795167,77.13304333,197.5
-0.024,-0.134,9.707,0.189758,-0.100555,9.804291,28.71794667,77.13305167,197.6
-0.102,-0.055,9.885,0.210327,-0.104232,9.803833,28.71794667,77.13305167,197.6
0.368,-0.134,9.801,0.175506,-0.108352,9.804474,28.71794667,77.13305167,197.6
0.054,-0.134,9.885,0.162719,-0.108978,9.804688,28.71794667,77.13305167,197.6
-0.494,-0.134,9.885,0.024505,-0.109619,9.806,28.71794667,77.13305167,197.6
0.132,-0.055,9.801,-0.164199,-0.113891,9.804611,28.71794667,77.13305167,197.6
-0.337,-0.134,9.707,-0.205291,-0.115875,9.803802,28.71794667,77.13305167,197.6
-0.18,-0.134,9.801,-0.218444,-0.122344,9.803452,28.71794667,77.13305167,197.6
-0.024,-0.134,9.801,-0.271316,-0.126861,9.802063,28.71794667,77.13305167,197.6
-0.651,-0.134,9.801,-0.253219,-0.127243,9.802551,28.71794667,77.13305167,197.6
-0.651,-0.134,9.885,-0.241317,-0.127838,9.802841,28.71794667,77.13306167,197.6
0.211,0.022,9.629,-0.304916,-0.132339,9.80101,28.71794667,77.13306167,197.6
-0.18,-0.055,9.885,-0.295104,-0.131729,9.801315,28.71794667,77.13306167,197.6
-0.024,-0.212,9.864,-0.255874,-0.123947,9.802521,28.71794667,77.13306167,197.6
-0.102,-0.134,9.801,-0.223739,-0.11972,9.80336,28.71794667,77.13306167,197.6
0.054,-0.212,9.801,-0.071395,-0.115737,9.805695,28.71794667,77.13306167,197.6
-0.102,-0.212,9.864,0.002548,-0.111831,9.806,28.71794667,77.13306167,197.6
0.211,-0.134,9.801,0.01979,-0.116928,9.805923,28.71794667,77.13306167,197.6
0.525,0.022,9.885,0.056701,-0.123291,9.80571,28.71794667,77.13306167,197.6
0.211,-0.134,9.801,0.10884,-0.119094,9.805313,28.71794667,77.13306167,197.6
1.309,0.101,9.629,0.121902,-0.111953,9.805252,28.717945,77.13306667,197.6
0.132,-0.29,9.801,0.272399,-0.092361,9.802429,28.717945,77.13306667,197.6
-0.18,-0.212,9.801,0.384155,-0.089553,9.798706,28.717945,77.13306667,197.6
-0.18,-0.134,9.801,0.29338,-0.101791,9.801727,28.717945,77.13306667,197.6
-0.18,-0.134,9.864,0.15892,-0.119033,9.804626,28.717945,77.13306667,197.6
-0.259,-0.055,9.801,0.031234,-0.132446,9.805695,28.717945,77.13306667,197.6
-0.259,-0.134,9.885,-0.247024,-0.142929,9.80249,28.717945,77.13306667,197.6
-0.18,-0.134,9.885,-0.325561,-0.138061,9.800262,28.717945,77.13306667,197.6
-0.494,-0.526,9.885,-0.314849,-0.120895,9.800842,28.717945,77.13306667,197.6
-0.887,-0.212,9.885,-0.296798,-0.114242,9.801483,28.717945,77.13306667,197.6
0.054,0.022,9.629,-0.340423,-0.120239,9.799988,28.71794667,77.13306833,197.6
-0.416,-0.134,9.942,-0.353942,-0.124679,9.799454,28.71794667,77.13306833,197.6
0.054,-0.134,9.801,-0.356216,-0.126342,9.799362,28.71794667,77.13306833,197.6
0.054,-0.055,9.864,-0.252594,-0.126647,9.802567,28.71794667,77.13306833,197.6
0.682,-0.055,9.885,-0.056686,-0.119796,9.80574,28.71794667,77.13306833,197.6
0.132,-0.134,9.801,0.124984,-0.103881,9.805298,28.71794667,77.13306833,197.6
0.525,-0.134,9.629,0.24327,-0.100524,9.803116,28.71794667,77.13306833,197.6
0.211,-0.134,9.864,0.325088,-0.095123,9.800797,28.71794667,77.13306833,197.6
0.289,-0.055,9.864,0.328033,-0.091613,9.80072,28.71794667,77.13306833,197.6
-0.416,-0.134,9.885,0.243804,-0.091766,9.803177,28.71794667,77.13306833,197.6
-0.337,-0.134,9.885,0.169769,-0.090744,9.804749,28.717945,77.13306333,197.6
-0.494,-0.134,9.801,-0.018569,-0.091964,9.806198,28.717945,77.13306333,197.6
0.054,-0.134,9.801,-0.187454,-0.102142,9.804321,28.717945,77.13306333,197.6
-0.102,-0.134,9.885,-0.241958,-0.111221,9.803024,28.717945,77.13306333,197.6
-1.043,-0.134,9.801,-0.292984,-0.127288,9.801437,28.717945,77.13306333,197.6
-0.651,-0.212,9.864,-0.376068,-0.151367,9.798264,28.717945,77.13306333,197.6
-0.887,-0.055,9.801,-0.385284,-0.158416,9.797791,28.717945,77.13306333,197.6
0.368,-0.055,9.801,-0.375366,-0.146743,9.798355,28.717945,77.13306333,197.6
1.702,-0.212,9.629,-0.252059,-0.129165,9.802551,28.717945,77.13306333,197.6
-0.102,-0.134,9.801,-0.004531,-0.118637,9.805923,28.71794167,77.13307,197.6
0.603,0.022,9.801,0.132614,-0.101623,9.805222,28.71794167,77.13307,197.6
0.368,-0.212,9.801,0.35997,-0.08525,9.799667,28.71794167,77.13307,197.6
-0.337,-0.212,9.885,0.480636,-0.091644,9.794434,28.71794167,77.13307,197.6
-0.887,-0.055,9.885,0.369812,-0.107437,9.799072,28.71794167,77.13307,197.6
-0.337,-0.212,9.885,0.224746,-0.108093,9.803467,28.71794167,77.13307,197.6
-0.18,-0.055,9.629,0.208389,-0.102661,9.803894,28.71794167,77.13307,197.6
-0.573,-0.134,9.864,-0.022689,-0.100234,9.806107,28.71794167,77.13307,197.6
-0.102,-0.134,9.801,-0.19107,-0.099914,9.804276,28.71794167,77.13307,197.6
-0.18,-0.134,9.885,-0.232727,-0.104446,9.803329,28.71794167,77.13307,197.6
-0.024,-0.134,9.864,-0.260757,-0.115722,9.80249,28.71794,77.13307333,197.6
-0.965,-0.369,9.864,-0.256073,-0.125152,9.802505,28.71794,77.13307333,197.6
-0.416,0.022,9.801,-0.280639,-0.157119,9.801361,28.71794,77.13307333,197.6
0.132,0.022,9.801,-0.357086,-0.164352,9.798767,28.71794,77.13307333,197.6
0.917,-0.134,9.885,-0.378402,-0.144836,9.798264,28.71794,77.13307333,197.6
-0.18,-0.134,9.885,-0.326553,-0.133255,9.800293,28.71794,77.13307333,197.6
0.603,-0.134,9.801,-0.146743,-0.129394,9.804688,28.71794,77.13307333,197.6
-0.024,-0.055,9.801,0.17369,-0.104202,9.80455,28.71794,77.13307333,197.6
1.309,-0.055,9.629,0.318817,-0.09526,9.800995,28.71794,77.13307333,197.6
0.525,-0.212,9.629,0.50064,-0.098358,9.793365,28.71794,77.13307333,197.6
-0.416,0.022,9.884,0.562164,-0.114501,9.789841,28.71794,77.13307333,197.6
-0.808,-0.134,9.801,0.510604,-0.121002,9.792587,28.71794,77.13307333,197.6
-0.651,-0.212,9.629,0.242935,-0.119995,9.802902,28.71794,77.13307333,197.6
-0.494,-0.134,9.885,0.019653,-0.122131,9.805862,28.71794,77.13307333,197.6
-0.024,-0.134,9.885,-0.268951,-0.127639,9.802124,28.71794,77.13307333,197.6
-0.965,-0.29,9.864,-0.39566,-0.128768,9.797806,28.71794,77.13307333,197.6
0.211,0.022,9.801,-0.504302,-0.136062,9.792725,28.71794,77.13307333,197.6
0.76,-0.212,9.801,-0.537353,-0.145935,9.790817,28.71794,77.13307333,197.6
-0.494,-0.055,9.864,-0.318756,-0.149353,9.800323,28.71794,77.13307333,197.6
0.368,-0.134,9.885,-0.256515,-0.144607,9.802216,28.71794,77.13307333,197.6
1.388,0.022,9.629,-0.24411,-0.126007,9.802795,28.71794167,77.13306,197.8
-0.024,-0.134,9.801,0.095306,-0.102035,9.805649,28.71794167,77.13306,197.8
-0.102,-0.055,9.707,0.163879,-0.097869,9.804779,28.71794167,77.13306,197.8
-0.102,-0.134,9.629,0.105117,-0.093856,9.805634,28.71794167,77.13306,197.8
-0.102,-0.134,9.801,0.123764,-0.096374,9.805389,28.71794167,77.13306,197.8
-0.102,-0.055,9.707,0.083404,-0.108306,9.805695,28.71794167,77.13306,197.8
-0.102,-0.134,9.809,-0.051589,-0.114334,9.805847,28.71794167,77.13306,197.8
-0.102,-0.134,9.809,-0.077606,-0.116195,9.805649,28.71794167,77.13306,197.8
-0.102,-0.134,9.885,-0.080017,-0.116516,9.805618,28.71794167,77.13306,197.8
-0.102,-0.134,9.885,-0.084136,-0.11618,9.805588,28.71794167,77.13306,197.8
-0.102,-0.134,9.885,-0.085449,-0.116607,9.805573,28.71794333,77.133055,197.7
-0.102,-0.134,9.885,-0.085281,-0.11737,9.805573,28.71794333,77.133055,197.7
-0.18,-0.134,9.885,-0.085296,-0.117507,9.805573,28.71794333,77.133055,197.7
-0.18,-0.134,9.885,-0.085296,-0.117507,9.805573,28.71794333,77.133055,197.7
-0.18,-0.134,9.885,-0.085296,-0.117507,9.805573,28.71794333,77.133055,197.7
-0.18,-0.134,9.885,-0.085296,-0.117507,9.805573,28.71794333,77.133055,197.7
-0.18,-0.134,9.885,-0.085296,-0.117507,9.805573,28.71794333,77.133055,197.7
-0.18,-0.134,9.885,-0.085296,-0.117507,9.805573,28.71794333,77.133055,197.7
-0.18,-0.134,9.885,-0.085296,-0.117507,9.805573,28.71794333,77.133055,197.7
-0.18,-0.134,9.885,-0.085296,-0.117507,9.805573,28.71794333,77.133055,197.7
-0.18,-0.134,9.885,-0.085296,-0.117507,9.805573,28.71794833,77.13305667,197.7
-0.18,-0.134,9.885,-0.085296,-0.117507,9.805573,28.71794833,77.13305667,197.7
-0.18,-0.134,9.885,-0.085296,-0.117507,9.805573,28.71794833,77.13305667,197.7
-0.18,-0.134,9.885,-0.085296,-0.117507,9.805573,28.71794833,77.13305667,197.7
