@ HyperIMU -ianovir - 2018
@ Date:Tue Dec 10 13:37:45 GMT+05:30 2019, Sampling Rate:100ms

ST_LIS3DHTR.x,ST_LIS3DHTR.y,ST_LIS3DHTR.z,GRAVITY.x,GRAVITY.y,GRAVITY.z,GPS.lat,GPS.long,GPS.alt,NMEA.a,NMEA.b,NMEA.c
-0.102,-0.134,9.707,-0.086334,-0.113754,9.805603,28.718433333333337,77.13372333333334,80.4,$GPGSA.A.3.31.03.26.16.14........1.42.1.08.0.91*03,$GLGSA.A.3.71.74...........1.42.1.08.0.91*1D,$BDGSA.A.3.23.13.07.10.02........1.42.1.08.0.91*12
-0.102,-0.055,9.707,-0.092086,-0.116622,9.805511,28.718433333333337,77.13372333333334,80.4,$GAGSA.A.3.24............1.42.1.08.0.91*13,$GPGSV.4.1.15.31.64.029.18.9.41.55.167.34.0.22.50.316..14.47.040.12.7*68,$GPGSV.4.2.15.26.40.145.34.3.01.36.265..194.35.062..03.28.320.13.4*4A
-0.102,-0.134,9.629,-0.092758,-0.116378,9.805511,28.718433333333337,77.13372333333334,80.4,$GPGSV.4.3.15.32.28.069..193.22.114..16.19.169.24.2.10.15.136.*5B,$GPGSV.4.4.15.11.13.253..25.12.045..23.09.286.*4A,$GLGSV.3.1.9.73.72.065..71.55.025.17.6.70.32.097..72.25.327.*4F
-0.573,-0.134,9.785,-0.092636,-0.112915,9.805557,28.718433333333337,77.13372333333334,80.4,$GLGSV.3.2.9.74.13.200.19.8.80.13.029..87.08.297..86.07.243.*46,$GLGSV.3.3.9.75.02.202.*6C,$BDGSV.4.1.13.23.67.056.15.3.09.55.034..02.55.166.26.3.05.50.215.*67
-0.18,-0.134,9.707,-0.12976,-0.113021,9.80513,28.718433333333337,77.13372333333334,80.4,$BDGSV.4.2.13.07.49.105.25.9.10.46.149.22.9.03.40.127..16.40.062.*6E,$BDGSV.4.3.13.06.37.066..20.24.317..25.17.041..01.15.104.*6A,$BDGSV.4.4.13.13.12.181.19.3*46
-0.259,-0.29,9.864,-0.169143,-0.115402,9.804504,28.718433333333337,77.13372333333334,80.4,$GAGSV.1.1.4.24.59.094.20.0.09.36.083.15.0.03.24.306..15.12.300.*5E,$GNRMC.080749.000.A.2843.1060.N.07708.0234.E.2.783.76.94.101219...A*7D,$GNVTG.76.94.T..M.2.783.N.5.156.K.A*16
-0.259,-0.055,9.785,-0.176269,-0.121871,9.804306,28.718433333333337,77.13372333333334,80.4,$PMTKTSX1.28386.-3948.394.36.841.36.241.5fc80000.-0.377489.-0.394839.-2.552745.-0.210381.1.460387.-0.395*56,$PMTKGEPH.19.1.0.1.1.0.0.0.1.0.1.1.1.0.1.0.1.0.1.0.1.1.1.1.0.1.1.1.0.0.0.1.1*3D,$PMTKGALM.31.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1*2A
0.446,-0.134,9.629,-0.195266,-0.122894,9.803925,28.718433333333337,77.13372333333334,80.4,$GNACCURACY.6.5*15,$PMTKAGC.080749.000.4648.4684.6476.6525.0.0.0*6C, 
0.446,0.022,9.785,-0.183059,-0.122436,9.804169,28.718433333333337,77.13372333333334,80.4, , , 
0.132,-0.134,9.785,-0.064712,-0.114624,9.805756,28.718433333333337,77.13372333333334,80.4, , , 
0.211,-0.055,9.785,-0.033645,-0.099182,9.806091,28.718435,77.133725,80.9,$GPGSA.A.3.31.03.26.16.14........1.29.0.96.0.87*0F,$GLGSA.A.3.71.74...........1.29.0.96.0.87*11,$BDGSA.A.3.23.13.07.10.02........1.29.0.96.0.87*1E
0.446,0.022,9.707,-0.029891,-0.091598,9.806168,28.718435,77.133725,80.9,$GAGSA.A.3.09.24...........1.29.0.96.0.87*16,$GPGSV.4.1.15.31.64.029.19.3.41.55.167.34.0.22.50.316..14.47.040.12.7*63,$GPGSV.4.2.15.26.40.145.30.2.01.36.265..194.35.062..03.28.320.13.4*4F
0.211,-0.055,9.629,0.049743,-0.090316,9.806107,28.718435,77.133725,80.9,$GPGSV.4.3.15.32.28.069..193.22.114..16.19.169.23.9.10.15.136.*57,$GPGSV.4.4.15.11.13.253..25.12.045..23.09.286.*4A,$GLGSV.3.1.9.73.72.065..71.55.025.17.3.70.32.097..72.25.327.*4A
-0.024,-0.134,9.707,0.06813,-0.087692,9.806015,28.718435,77.133725,80.9,$GLGSV.3.2.9.74.13.200.20.0.80.13.029..87.08.297..86.07.243.*44,$GLGSV.3.3.9.75.02.202.*6C,$BDGSV.4.1.13.23.67.056.15.0.09.55.034..02.55.166.25.8.05.50.215.*6C
0.132,-0.212,9.707,0.043838,-0.090087,9.806137,28.718435,77.133725,80.9,$BDGSV.4.2.13.07.49.105.26.4.10.46.149.22.6.03.40.127..16.40.062.18.5*7D,$BDGSV.4.3.13.06.37.066..20.24.317..25.17.041..01.15.104.*6A,$BDGSV.4.4.13.13.12.181.18.6*42
0.054,-0.055,9.707,0.062393,-0.100097,9.805939,28.718435,77.133725,80.9,$GAGSV.1.1.4.24.59.094.18.4.09.36.083.15.2.03.24.306..15.12.300.*53,$GNRMC.080750.000.A.2843.1061.N.07708.0235.E.2.523.82.41.101219...A*7E,$GNVTG.82.41.T..M.2.523.N.4.675.K.A*1A
-0.102,-0.055,9.707,0.106918,-0.100311,9.805542,28.718435,77.133725,80.9,$PMTKTSX1.29386.-4071.347.36.744.36.291.5fa60000.-0.388238.-0.407135.-1.546038.-0.210381.1.460387.-0.404*56,$PMTKGEPH.19.1.0.1.1.0.0.0.1.0.1.1.1.0.1.0.1.0.1.0.1.1.1.1.0.1.1.1.0.0.0.1.1*3D,$PMTKGALM.31.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1*2A
-0.024,-0.134,9.864,0.078689,-0.101394,9.805801,28.718435,77.133725,80.9,$GNACCURACY.6.4*14,$PMTKAGC.080750.000.5228.5035.6545.6581.0.0.0*65, 
-0.024,-0.055,9.707,0.040725,-0.10202,9.80603,28.718435,77.133725,80.9, , , 
-0.259,-0.134,9.785,0.025939,-0.101257,9.806091,28.718435,77.133725,80.9,$GPGSA.A.3.31.03.26.16.........1.26.0.93.0.85*02,$GLGSA.A.3.71.74...........1.26.0.93.0.85*19,$BDGSA.A.3.23.13.16.07.10.02.......1.26.0.93.0.85*11
-0.024,-0.212,9.864,-0.02951,-0.098709,9.806107,28.718435,77.133725,81.3,$GAGSA.A.3.09.24...........1.26.0.93.0.85*1E,$GPGSV.4.1.15.31.64.029.19.2.41.55.167.34.0.22.50.316..14.47.040.12.0*65,$GPGSV.4.2.15.26.40.145.30.1.01.36.265..194.35.062..03.28.320.14.1*4E
